FIPS,bronze.rate,silver.rate,gold.rate,Column1,bronze percent difference,Column3,Column4,Column5,Class,,,26,,,,,,,,,
36067,504.1529268,682.4317881,844.2009554,2.735347966,56%,72.791%,87.050%,71.819%,f,,,,,,,0.56,0.216199257,1,,6%,75
34019,648.945,597.4975,685.9075,3.520936389,100.307%,51.286%,51.977%,67.857%,g,,,,,,,1,0.229107571,3,,0%,70
36037,489.5928571,664.4914504,815.7986923,2.656350394,51%,68.249%,80.757%,66.709%,g,,,,,,,0.51,0.370083406,90,,-1%,56
36073,489.5928571,664.4914504,815.7986923,2.656350394,51%,68.249%,80.757%,66.709%,g,,,,,,,0.51,0.32813516,3,,1%,48
36121,489.5928571,664.4914504,815.7986923,2.656350394,51%,68.249%,80.757%,66.709%,g,,,,,,,0.51,0.259330371,2,,-2%,10
54001,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.237742295,7,,3%,14
54003,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.227620793,4,,-3%,44
54005,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.275350131,23,,2%,107
54007,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.262277028,3,,-5%,65
54009,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.353661033,1,,-6%,58
54011,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.142559799,1,,-4%,16
54013,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.197545122,1,,-7%,63
54015,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.244678272,3,,-8%,93
54017,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.187005158,2,,-9%,102
54019,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.211597905,4,,-10%,137
54021,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.183953892,1,,-11%,102
54023,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.378280428,1,,-13%,59
54025,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.315336743,3,,-15%,56
54027,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.233478116,1,,-14%,23
54029,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.374389895,1,,-12%,89
54031,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.19831002,4,,-16%,56
54033,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.153485677,4,,-17%,136
54035,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.164732097,1,,-20%,40
54037,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.205878611,1,,-21%,32
54039,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.139489517,1,,-19%,69
54041,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.149220489,5,,-18%,19
54043,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.129836687,2,,-23%,17
